subject_name,subject_type,relation_type,object_name,object_type
图象,数学实体,相关于,象限,数学实体
图象,数学实体,相关于,象限,数学实体
第三象限,数学实体,属于,象限,数学实体
象限角,数学实体,相关于,象限,数学实体
第二象限,数学实体,属于,象限,数学实体
第四象限,数学实体,属于,象限,数学实体
第一象限,数学实体,属于,象限,数学实体
一次函数图像的性质,数学实体,相关于,象限,数学实体
象限,数学实体,部分于,直角坐标系,数学实体
象限,数学实体,属于,坐标平面,数学实体
算术平方根,数学实体,部分于,数,数学实体
平面向量基本定理,数学实体,相关于,平行向量,数学实体
共线向量的定义,数学实体,相关于,平行向量,数学实体
平行向量,数学实体,属于,向量,数学实体
不可能事件,数学实体,属于,确定事件,数学实体
必然事件,数学实体,属于,确定事件,数学实体
确定事件,数学实体,属于,事件,数学实体
圆的一般方程的定义,数学实体,相关于,二次方程,数学实体
二次方程,数学实体,属于,方程,数学实体
函数图像法的性质,数学实体,相关于,图象,数学实体
步骤,数学实体,相关于,图象,数学实体
优点,数学实体,相关于,图象,数学实体
表示法,数学实体,相关于,图象,数学实体
几何意义,数学实体,相关于,图象,数学实体
利用导数求解方程解的个数,数学实体,相关于,图象,数学实体
函数伸缩变换的性质,数学实体,相关于,图象,数学实体
函数平移变换的性质,数学实体,相关于,图象,数学实体
数列与立体几何综合,数学实体,相关于,图象,数学实体
函数对称变换的性质,数学实体,相关于,图象,数学实体
一次函数图像的性质,数学实体,相关于,图象,数学实体
函数的零点的定义,数学实体,相关于,图象,数学实体
函数的零点分布,数学实体,相关于,图象,数学实体
图像变换,数学实体,相关于,图象,数学实体
正态分布密度曲线的定义,数学实体,相关于,图象,数学实体
函数翻折变换的性质,数学实体,相关于,图象,数学实体
函数的图象的定义,数学实体,相关于,图象,数学实体
数列与解析几何综合,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,象限,数学实体
图象,数学实体,相关于,函数,数学实体
图象,数学实体,相关于,象限,数学实体
图象,数学实体,相关于,曲线,数学实体
图象,数学实体,相关于,双曲线,数学实体
图象,数学实体,相关于,对称轴,数学实体
图象,数学实体,相关于,原点,数学实体
图象,数学实体,相关于,轴对称图形,数学实体
图象,数学实体,相关于,对称中心,数学实体
图象,数学实体,相关于,反比例函数,数学实体
图象,数学实体,相关于,中心对称图形,数学实体
图象,数学实体,相关于,直线,数学实体
图象,数学实体,相关于,无限,数学实体
图象,数学实体,相关于,相交于,数学实体
图象,数学实体,相关于,坐标轴,数学实体
图象,数学实体,相关于,原点,数学实体
图象,数学实体,相关于,轴对称,数学实体
图象,数学实体,相关于,双曲线,数学实体
图象,数学实体,相关于,点,数学实体
图象,数学实体,相关于,横轴,数学实体
图象,数学实体,相关于,纵轴,数学实体
图象,数学实体,相关于,曲线,数学实体
图象,数学实体,相关于,双曲线,数学实体
图象,数学实体,相关于,函数,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,相关于,图象,数学实体
图象,数学实体,部分于,函数,数学实体
锐角三角形,数学实体,属于,斜三角形,数学实体
钝角三角形,数学实体,属于,斜三角形,数学实体
解三角形应用-距离问题,数学实体,相关于,斜三角形,数学实体
解三角形应用-高度问题,数学实体,相关于,斜三角形,数学实体
解三角形应用-角度问题,数学实体,相关于,斜三角形,数学实体
斜三角形,数学实体,属于,三角形,数学实体
边,数学实体,部分于,多面体,数学实体
棱,数学实体,部分于,多面体,数学实体
棱锥,数学实体,属于,多面体,数学实体
侧棱,数学实体,部分于,多面体,数学实体
高线,数学实体,部分于,多面体,数学实体
顶点,数学实体,部分于,多面体,数学实体
简单组合体,数学实体,属于,多面体,数学实体
球的内接多面体,数学实体,相关于,多面体,数学实体
底面,数学实体,部分于,多面体,数学实体
棱台,数学实体,属于,多面体,数学实体
棱柱,数学实体,属于,多面体,数学实体
侧面,数学实体,部分于,多面体,数学实体
五面体,数学实体,属于,多面体,数学实体
空间几何体表面距离,数学实体,相关于,多面体,数学实体
多面体,数学实体,属于,立体图形,数学实体
基本性质,数学实体,相关于,分子,数学实体
对数变换,数学实体,相关于,分子,数学实体
除法法则,数学实体,相关于,分子,数学实体
乘法法则,数学实体,相关于,分子,数学实体
约分法则,数学实体,相关于,分子,数学实体
同分母分式相加减,数学实体,相关于,分子,数学实体
分子,数学实体,包含于,原子,物理实体
分子,数学实体,部分于,分式,数学实体
分子,数学实体,部分于,分数,数学实体
画法,数学实体,相关于,回归直线,数学实体
等腰直角三角形,数学实体,属于,直角三角形,数学实体
等腰直角三角形,数学实体,属于,等腰三角形,数学实体
不同点,数学实体,相关于,无限,数学实体
不同点,数学实体,相关于,无限,数学实体
图象,数学实体,相关于,无限,数学实体
曲线的切线的定义,数学实体,相关于,无限,数学实体
无限集的定义,数学实体,相关于,无限,数学实体
函数极限的定义,数学实体,相关于,无限,数学实体
基本性质,数学实体,相关于,分数,数学实体
分类,数学实体,相关于,分数,数学实体
依据,数学实体,相关于,分数,数学实体
负分数,数学实体,属于,分数,数学实体
正分数,数学实体,属于,分数,数学实体
分子,数学实体,部分于,分数,数学实体
分母,数学实体,部分于,分数,数学实体
分数,数学实体,属于,有理数,数学实体
充分不必要条件,数学实体,属于,条件关系,数学实体
正交基底,数学实体,属于,基底,数学实体
坐标表示,数学实体,相关于,基底,数学实体
基本定理,数学实体,相关于,基底,数学实体
向量的基底的定义,数学实体,相关于,基底,数学实体
基底,数学实体,属于,向量,数学实体
化简求值,数学实体,相关于,化简,数学实体
二次根式的化简的定义,数学实体,相关于,化简,数学实体
化简,数学实体,部分于,二次根式,数学实体
正相关,数学实体,左相关于,变量,数学实体
正相关,数学实体,右相关于,变量,数学实体
正相关,数学实体,属于,相关关系,数学实体
正相关,数学实体,属于,自反关系,数学实体
负分数,数学实体,属于,负有理数,数学实体
负分数,数学实体,属于,分数,数学实体
步骤,数学实体,相关于,多项式,数学实体
步骤,数学实体,相关于,多项式,数学实体
分类,数学实体,相关于,多项式,数学实体
首项,数学实体,部分于,多项式,数学实体
提公因式法,数学实体,相关于,多项式,数学实体
多项式的项数的定义,数学实体,相关于,多项式,数学实体
多项式与多项式相乘,数学实体,相关于,多项式,数学实体
项数,数学实体,部分于,多项式,数学实体
因式,数学实体,属于,多项式,数学实体
降幂排列,数学实体,相关于,多项式,数学实体
项,数学实体,部分于,多项式,数学实体
多项式的项的定义,数学实体,相关于,多项式,数学实体
高次不等式的解法,数学实体,相关于,多项式,数学实体
约分法则,数学实体,相关于,多项式,数学实体
多项式的次数的定义,数学实体,相关于,多项式,数学实体
分解因式的定义,数学实体,相关于,多项式,数学实体
升幂排列,数学实体,相关于,多项式,数学实体
单项式与多项式相乘,数学实体,相关于,多项式,数学实体
多项式除以单项式,数学实体,相关于,多项式,数学实体
多项式,数学实体,属于,整式,数学实体
弧度制,数学实体,属于,度量制,数学实体
角度制,数学实体,属于,度量制,数学实体
基本特征,数学实体,相关于,性质,数学实体
基本性质,数学实体,相关于,性质,数学实体
优点,数学实体,相关于,性质,数学实体
相同点,数学实体,相关于,性质,数学实体
分类,数学实体,相关于,性质,数学实体
分类,数学实体,相关于,性质,数学实体
函数翻折变换的性质,数学实体,相关于,性质,数学实体
椭圆中的动态参数问题,数学实体,相关于,性质,数学实体
函数图像法的性质,数学实体,相关于,性质,数学实体
依据,数学实体,相关于,性质,数学实体
充分必要条件的性质,数学实体,相关于,性质,数学实体
解一元一次不等式的一般步骤,数学实体,相关于,性质,数学实体
数学性质的定义,数学实体,相关于,性质,数学实体
抛物线中的动态参数问题,数学实体,相关于,性质,数学实体
直线被圆截得的弦长,数学实体,相关于,性质,数学实体
三角形的内心的定义,数学实体,相关于,圆心,数学实体
步骤,数学实体,相关于,圆心,数学实体
圆切线的性质,数学实体,相关于,圆心,数学实体
圆切线的性质,数学实体,相关于,圆心,数学实体
球的性质,数学实体,相关于,圆心,数学实体
点与圆位置关系的性质,数学实体,相关于,圆心,数学实体
点与圆位置关系的性质,数学实体,相关于,圆心,数学实体
点与圆位置关系的性质,数学实体,相关于,圆心,数学实体
圆标准方程的性质,数学实体,相关于,圆心,数学实体
圆标准方程的性质,数学实体,相关于,圆心,数学实体
圆标准方程的性质,数学实体,相关于,圆心,数学实体
圆标准方程的性质,数学实体,相关于,圆心,数学实体
圆标准方程的性质,数学实体,相关于,圆心,数学实体
圆锥的轴线的定义,数学实体,相关于,圆心,数学实体
圆与圆位置关系的性质,数学实体,相关于,圆心,数学实体
圆一般方程的性质,数学实体,相关于,圆心,数学实体
三角形的外心的定义,数学实体,相关于,圆心,数学实体
圆的切线方程,数学实体,相关于,圆心,数学实体
圆的标准方程的定义,数学实体,相关于,圆心,数学实体
线与圆位置关系的性质,数学实体,相关于,圆心,数学实体
圆的极坐标方程的定义,数学实体,相关于,圆心,数学实体
圆的参数方程的定义,数学实体,相关于,圆心,数学实体
正多边形的中心的定义,数学实体,相关于,圆心,数学实体
圆心,数学实体,部分于,圆,数学实体
相等,数学实体,属于,对称关系,数学实体
平行于,数学实体,属于,对称关系,数学实体
相似于,数学实体,属于,对称关系,数学实体
外离于,数学实体,属于,对称关系,数学实体
全等于,数学实体,属于,对称关系,数学实体
垂直于,数学实体,属于,对称关系,数学实体
互余,数学实体,属于,对称关系,数学实体
相关关系,数学实体,属于,对称关系,数学实体
互补,数学实体,属于,对称关系,数学实体
相交于,数学实体,属于,对称关系,数学实体
相离于,数学实体,属于,对称关系,数学实体
相切于,数学实体,属于,对称关系,数学实体
对称关系,数学实体,属于,数学关系,数学实体
圆柱,数学实体,属于,旋转体,数学实体
圆台,数学实体,属于,旋转体,数学实体
球体,数学实体,属于,旋转体,数学实体
圆锥,数学实体,属于,旋转体,数学实体
空间几何体表面距离,数学实体,相关于,旋转体,数学实体
旋转体,数学实体,属于,曲面体,数学实体
对称性,数学实体,相关于,原点,数学实体
函数对称变换的性质,数学实体,相关于,原点,数学实体
要素,数学实体,相关于,原点,数学实体
一次函数的性质,数学实体,相关于,原点,数学实体
画法,数学实体,相关于,原点,数学实体
几何意义,数学实体,相关于,原点,数学实体
几何意义,数学实体,相关于,原点,数学实体
几何意义,数学实体,相关于,原点,数学实体
对称性,数学实体,相关于,原点,数学实体
圆一般方程的性质,数学实体,相关于,原点,数学实体
矩阵旋转变换的性质,数学实体,相关于,原点,数学实体
原点对称的性质,数学实体,相关于,原点,数学实体
圆标准方程的性质,数学实体,相关于,原点,数学实体
截距式直线方程的定义,数学实体,相关于,原点,数学实体
抛物线的标准方程的定义,数学实体,相关于,原点,数学实体
复数相反数的性质,数学实体,相关于,原点,数学实体
图象,数学实体,相关于,原点,数学实体
图象,数学实体,相关于,原点,数学实体
原点,数学实体,部分于,坐标轴,数学实体
勾股定理,数学实体,相关于,直角三角形,数学实体
勾股定理,数学实体,相关于,直角边,数学实体
勾股定理,数学实体,相关于,平方,数学实体
勾股定理,数学实体,相关于,斜边,数学实体
方法,数学实体,相关于,程序框图,数学实体
程序框图,数学实体,属于,流程图,数学实体
步骤,数学实体,相关于,样本,数学实体
频率分布直方图的性质,数学实体,相关于,样本,数学实体
步骤,数学实体,相关于,样本,数学实体
样本估计总体,数学实体,相关于,样本,数学实体
抽签法抽样的定义,数学实体,相关于,样本,数学实体
优点,数学实体,相关于,样本,数学实体
分布情况,数学实体,相关于,样本,数学实体
平均水平特性,数学实体,相关于,样本,数学实体
频率分布直方图的定义,数学实体,相关于,样本,数学实体
波动情况,数学实体,相关于,样本,数学实体
基本数学思想,数学实体,相关于,样本,数学实体
步骤,数学实体,相关于,样本,数学实体
步骤,数学实体,相关于,样本,数学实体
步骤,数学实体,相关于,样本,数学实体
不同点,数学实体,相关于,未知数,数学实体
方程的解的定义,数学实体,相关于,未知数,数学实体
解一元一次不等式的一般步骤,数学实体,相关于,未知数,数学实体
二元一次方程的整数解的定义,数学实体,相关于,未知数,数学实体
消元思想的定义,数学实体,相关于,未知数,数学实体
一元二次方程的解的定义,数学实体,相关于,未知数,数学实体
三元一次方程的解的定义,数学实体,相关于,未知数,数学实体
标准形式,数学实体,相关于,未知数,数学实体
二元一次不等式的解的定义,数学实体,相关于,未知数,数学实体
方程的根的定义,数学实体,相关于,未知数,数学实体
二元一次方程的解的定义,数学实体,相关于,未知数,数学实体
不等式的解的定义,数学实体,相关于,未知数,数学实体
不等式的解集的定义,数学实体,相关于,未知数,数学实体
抛物线的焦准距的定义,数学实体,相关于,准线,数学实体
抛物线的准线的定义,数学实体,相关于,准线,数学实体
抛物线准线的性质,数学实体,相关于,准线,数学实体
准线,数学实体,部分于,抛物线,数学实体
准线,数学实体,属于,直线,数学实体
五音,语文实体,包括,角,数学实体
邻角,数学实体,属于,角,数学实体
旋转角,数学实体,属于,角,数学实体
圆周角,数学实体,属于,角,数学实体
同角,数学实体,属于,角,数学实体
钝角,数学实体,属于,角,数学实体
同位角,数学实体,属于,角,数学实体
内错角,数学实体,属于,角,数学实体
弦切角,数学实体,属于,角,数学实体
对应角,数学实体,属于,角,数学实体
负角,数学实体,属于,角,数学实体
方向角,数学实体,属于,角,数学实体
零角,数学实体,属于,角,数学实体
对顶角,数学实体,属于,角,数学实体
外角,数学实体,属于,角,数学实体
俯角,数学实体,属于,角,数学实体
平面角,数学实体,属于,角,数学实体
邻补角,数学实体,属于,角,数学实体
夹角,数学实体,属于,角,数学实体
补角,数学实体,属于,角,数学实体
对角,数学实体,属于,角,数学实体
仰角,数学实体,属于,角,数学实体
中心角,数学实体,属于,角,数学实体
圆心角,数学实体,属于,角,数学实体
直角,数学实体,属于,角,数学实体
锐角,数学实体,属于,角,数学实体
内角,数学实体,属于,角,数学实体
视角,数学实体,属于,角,数学实体
同旁内角,数学实体,属于,角,数学实体
平角,数学实体,属于,角,数学实体
等角,数学实体,属于,角,数学实体
周角,数学实体,属于,角,数学实体
正角,数学实体,属于,角,数学实体
倾斜角,数学实体,属于,角,数学实体
坡角,数学实体,属于,角,数学实体
线面角,数学实体,属于,角,数学实体
内对角,数学实体,属于,角,数学实体
二面角,数学实体,属于,角,数学实体
角边角定理,数学实体,相关于,角,数学实体
角角边定理,数学实体,相关于,角,数学实体
判定,数学实体,相关于,角,数学实体
平行四边形的判定,数学实体,相关于,角,数学实体
平行四边形的判定,数学实体,相关于,角,数学实体
等角定理,数学实体,相关于,角,数学实体
表示法,数学实体,相关于,角,数学实体
表示法,数学实体,相关于,角,数学实体
表示法,数学实体,相关于,角,数学实体
表示法,数学实体,相关于,角,数学实体
矩形的性质,数学实体,相关于,角,数学实体
分类,数学实体,相关于,角,数学实体
分类,数学实体,相关于,角,数学实体
内部,数学实体,相关于,角,数学实体
四边形的角的定义,数学实体,相关于,角,数学实体
最小角定理,数学实体,相关于,角,数学实体
三角形的角平分线的定义,数学实体,相关于,角,数学实体
角的始边的定义,数学实体,相关于,角,数学实体
多边形的外角的定义,数学实体,相关于,角,数学实体
象限角,数学实体,相关于,角,数学实体
三线八角,数学实体,相关于,角,数学实体
三角形的角的定义,数学实体,相关于,角,数学实体
终边相同的角,数学实体,相关于,角,数学实体
互为补角的定义,数学实体,相关于,角,数学实体
多边形的角的定义,数学实体,相关于,角,数学实体
角的顶点的定义,数学实体,相关于,角,数学实体
两直线的夹角的定义,数学实体,相关于,角,数学实体
球坐标系的定义,数学实体,相关于,角,数学实体
等角对等边,数学实体,相关于,角,数学实体
三角形的外角的定义,数学实体,相关于,角,数学实体
异面直线互相垂直的定义,数学实体,相关于,角,数学实体
直线的倾斜角的定义,数学实体,相关于,角,数学实体
互为余角的定义,数学实体,相关于,角,数学实体
四边形的内角的定义,数学实体,相关于,角,数学实体
外部,数学实体,相关于,角,数学实体
全等三角形的对应角的定义,数学实体,相关于,角,数学实体
基本要素,数学实体,相关于,角,数学实体
轴线角,数学实体,相关于,角,数学实体
矩阵旋转变换的性质,数学实体,相关于,角,数学实体
度,数学实体,相关于,角,数学实体
垂直的定义,数学实体,相关于,角,数学实体
角的终边的定义,数学实体,相关于,角,数学实体
等腰梯形的判定,数学实体,相关于,角,数学实体
多边形的内角的定义,数学实体,相关于,角,数学实体
秒,数学实体,相关于,角,数学实体
四边形的外角的定义,数学实体,相关于,角,数学实体
分,数学实体,相关于,角,数学实体
反余割,数学实体,部分于,角,数学实体
始边,数学实体,部分于,角,数学实体
补角,数学实体,部分于,角,数学实体
弧度,数学实体,部分于,角,数学实体
余角,数学实体,部分于,角,数学实体
顶点,数学实体,部分于,角,数学实体
角度,数学实体,部分于,角,数学实体
正弦线,数学实体,部分于,角,数学实体
正弦,数学实体,部分于,角,数学实体
平分线,数学实体,部分于,角,数学实体
内对角,数学实体,部分于,角,数学实体
余弦,数学实体,部分于,角,数学实体
余弦线,数学实体,部分于,角,数学实体
正切线,数学实体,部分于,角,数学实体
正切,数学实体,部分于,角,数学实体
终边,数学实体,部分于,角,数学实体
反正弦,数学实体,部分于,角,数学实体
余切,数学实体,部分于,角,数学实体
反正割,数学实体,部分于,角,数学实体
反余切,数学实体,部分于,角,数学实体
余割,数学实体,部分于,角,数学实体
反正切,数学实体,部分于,角,数学实体
正割,数学实体,部分于,角,数学实体
反余弦,数学实体,部分于,角,数学实体
互补,数学实体,右相关于,角,数学实体
互余,数学实体,右相关于,角,数学实体
互补,数学实体,左相关于,角,数学实体
互余,数学实体,左相关于,角,数学实体
角,数学实体,属于,轴对称图形,数学实体
角,数学实体,部分于,多边形,数学实体
判定,数学实体,相关于,对应角,数学实体
全等三角形的对应角的定义,数学实体,相关于,对应角,数学实体
对应角,数学实体,属于,角,数学实体
对应角,数学实体,部分于,全等三角形,数学实体
半圆,数学实体,属于,弧,数学实体
直四棱柱,数学实体,属于,四棱柱,数学实体
平行六面体,数学实体,属于,四棱柱,数学实体
四棱柱,数学实体,属于,棱柱,数学实体
托勒密定理,数学实体,相关于,对角线,数学实体
平行四边形的判定,数学实体,相关于,对角线,数学实体
平行四边形的判定,数学实体,相关于,对角线,数学实体
平行四边形的判定,数学实体,相关于,对角线,数学实体
几何意义,数学实体,相关于,对角线,数学实体
等腰梯形的判定,数学实体,相关于,对角线,数学实体
矩形的性质,数学实体,相关于,对角线,数学实体
矩形的性质,数学实体,相关于,对角线,数学实体
内容,数学实体,相关于,对角线,数学实体
正方形的判定,数学实体,相关于,对角线,数学实体
正方形的判定,数学实体,相关于,对角线,数学实体
多边形的对角线的定义,数学实体,相关于,对角线,数学实体
菱形的判定,数学实体,相关于,对角线,数学实体
四边形的对角线的定义,数学实体,相关于,对角线,数学实体
基本要素,数学实体,相关于,对角线,数学实体
平行四边形法则,数学实体,相关于,对角线,数学实体
对角线,数学实体,属于,线段,数学实体
对角线,数学实体,部分于,多边形,数学实体
一般式,数学实体,相关于,一般式,数学实体
一般式,数学实体,相关于,一般式,数学实体
一般式,数学实体,相关于,二次函数,数学实体
一般式,数学实体,相关于,解析表达式,数学实体
一般式,数学实体,相关于,常数,数学实体
一般式,数学实体,相关于,函数,数学实体
一般式,数学实体,属于,公式,数学实体
一般式,数学实体,部分于,直线,数学实体
余割,数学实体,部分于,角,数学实体
优点,数学实体,相关于,函数值,数学实体
周期性,数学实体,相关于,函数值,数学实体
函数表格法的性质,数学实体,相关于,函数值,数学实体
函数的极小值的定义,数学实体,相关于,函数值,数学实体
函数的最大值的定义,数学实体,相关于,函数值,数学实体
函数的最小值的定义,数学实体,相关于,函数值,数学实体
连续函数零点的性质,数学实体,相关于,函数值,数学实体
函数的极大值的定义,数学实体,相关于,函数值,数学实体
函数表达式法的性质,数学实体,相关于,函数值,数学实体
函数的极小值点的定义,数学实体,相关于,函数值,数学实体
函数的表示法的性质,数学实体,相关于,函数值,数学实体
函数的极大值点的定义,数学实体,相关于,函数值,数学实体
函数值,数学实体,部分于,函数,数学实体
半开半闭区间,数学实体,属于,区间,数学实体
偶次方根,数学实体,部分于,数,数学实体
非零向量,数学实体,属于,向量,数学实体
平行向量,数学实体,属于,向量,数学实体
法向量,数学实体,属于,向量,数学实体
单位向量,数学实体,属于,向量,数学实体
共面向量,数学实体,属于,向量,数学实体
平面向量,数学实体,属于,向量,数学实体
相等向量,数学实体,属于,向量,数学实体
相反向量,数学实体,属于,向量,数学实体
零向量,数学实体,属于,向量,数学实体
